route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_re_IT_2,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_06:15:00_2_re__1_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 EST. ARANJUEZ,1,,9__1__013__2_re_IT_2,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_06:45:00_1_-__1_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_07:45:00_1_-__3_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_08:45:00_1_-__5_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_09:45:00_1_-__7_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_10:45:00_1_-__9_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_11:45:00_1_-__11_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_12:45:00_1_-__13_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_13:45:00_1_-__15_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
9__1__013_,9010201_9__1__013_,9010201_9__1__013_-9__1__013__2_14:45:00_1_-__17_9__1__013_,ESTACIÓN-EST.ARANJUEZ,1 ARBOLEDA DE LA REINA,0,,9__1__013__1_-_IT_1,0
